26/06/2023 16:12:39 - Erro ao inserir a linha 129, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 130, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 131, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 132, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 133, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 134, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 135, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 136, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 137, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 138, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 139, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 140, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 141, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 142, os dados já existem
26/06/2023 16:12:39 - Erro ao inserir a linha 143, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 144, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 145, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 146, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 147, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 148, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 149, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 150, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 151, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 152, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 153, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 154, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 155, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 156, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 157, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 158, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 159, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 160, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 161, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 162, os dados já existem
26/06/2023 16:12:40 - Erro ao inserir a linha 163, os dados já existem
